doc,PC0,PC1,PC2,PC3,PC4
Afghanistan_2004,-0.0001243496677436085,-0.00022744654564854156,-0.00030136642630424317,-0.0002280966679993254,7.663449967932244e-05
Albania_2008,-0.00011350056568797641,-0.000696944995463608,-6.517197412632811e-05,5.22736412470659e-05,-0.0003677111102159494
Algeria_2008,-0.00015550447808130362,-0.0008299075438663849,0.000722314545491399,9.503137148763879e-05,-0.0009864536186718444
Andorra_1993,-0.00012373467490239115,-0.0005863011796918827,-0.00037230224336220525,9.185284864154998e-05,-3.681797719553632e-05
Angola_2010,-9.408212802071402e-05,-0.0005850849648112569,-0.0003741685378124566,8.522155865849237e-05,-0.00012466722098580639
Antigua_and_Barbuda_1981,-0.0005140132598440364,0.003450206217056121,0.0008171534318526402,-0.0008174362492860624,0.0003478622980340418
Argentina_1994,-0.00020107399757708313,-0.0011154247731944946,0.0009625658722421822,-0.00011385784694967362,0.0016905271423637133
Armenia_2005,-7.800322876676885e-05,-0.0006294346506337683,-0.0003856075897601216,6.850536177215452e-05,-0.00011295609572126011
Australia_1985,-0.00035498240435045194,0.0014847237455910965,8.200160693301772e-05,-0.0006926591193664542,0.00023574283865882405
Austria_2009,0.0016938373199608637,-0.0005049807636055943,-0.00037102084527940166,5.384912085218319e-05,-0.00014177245643120321
Azerbaijan_2009,-9.098856920129577e-05,-0.0005775878822913817,-0.00024356674269676714,4.613059191645467e-05,-0.0002193525427325892
Bahamas_2002,-0.00025769955762949316,0.0008384687771767927,1.2930141288465306e-06,-0.00030377728734172813,0.00011225224698066527
Bahrain_2002,-0.00012086038297730165,-0.0009231246316067846,-0.000607132872177683,4.850945668344258e-05,1.0519936122671066e-05
Bangladesh_2011,-0.00023452909703577075,0.00040359795508294026,-0.00019600070627816396,0.00026002320354140553,-0.000795112909993292
Barbados_2007,-0.00041682277987390196,0.0026567479836408867,0.0006122642376384692,-0.000563480814252338,0.00020969990145027913
Belarus_2004,-0.00011104861679697143,-0.0002947146564491733,-0.0003268072891473808,-6.980233696376393e-05,-3.054333586903644e-05
Belgium_2012,-0.00015472802286943508,-6.214523405115359e-06,-0.00028753966718905835,-0.00022878968919210274,6.749664189446233e-05
Belize_2001,-0.0004405853328062775,0.0028545835984880906,0.00072991902163107,-0.0007869070796967588,0.00045963574487917805
Benin_1990,-0.00012438344736529449,-0.0006132618113898484,-0.00038160516624411155,3.843446684702257e-05,-6.966754924375959e-05
Bhutan_2008,-0.00023576280533456884,0.0002074250152331093,-0.0002917633427070288,2.183819245298784e-05,-0.00029766950159071934
Bolivia_2009,-8.916674031223874e-05,-0.0007498296069799749,-0.0003532949658454835,4.58841772476287e-05,-1.679283768811023e-05
Bosnia_Herzegovina_2009,0.0016289627327712795,-0.00030973554999575115,-0.0003058555366718401,-0.00016685115326621507,0.00024961659654908376
Botswana_2002,-0.00042888186189079906,0.002426138214948764,0.0005035625576015703,-0.0003303152703147034,-0.00010149973771948768
Brazil_2014,1.2503480794103556e-05,-0.0007922262829288094,7.096303943983664e-05,-1.3096923745319943e-06,0.0006992029892598919
Brunei_1984,-0.000471888187748306,0.0025094054191270483,0.0005936101369095067,-0.0008944922801623146,-0.00010033394460982862
Bulgaria_2007,-9.500204452674164e-05,-0.0006398083172866435,-0.0004109904792066942,0.00014489736789110097,-0.00011780512482138295
Burkina_Faso_2012,-0.00012473650603857475,-0.0005258595718619062,-0.000334629865495074,4.865607144722675e-05,4.2181847554992526e-05
Burundi_2005,-0.00015577256323333577,-0.0004907972334124724,-0.00028627846953821115,-5.51381851546481e-05,0.00017316856064763416
Cambodia_1999,-0.00019387567155916004,-0.00036213958476187785,-6.671286493995413e-05,-0.0002908419961017489,0.0005858785877284042
Cameroon_2008,-0.00017873330132215276,-0.00037972936948397394,-0.00019631400479149842,-9.032589794420193e-05,0.0002335720957515159
Canada_2011,-0.00031998569948277276,0.0010230147773964884,-1.2591884897839618e-05,-0.0004556336937427598,-5.1977766079040537e-05
Cape_Verde_1992,-8.575669901261073e-05,-0.0006803314355232231,-0.00039588218611210236,0.00011344460275536266,-3.924966834726047e-05
Central_African_Republic_2010,-0.0001258415326796085,-0.0006536382266689884,-0.00042749036199355567,4.340814354540958e-05,-6.856326845172073e-05
Chad_2005,-0.0001243852426148231,-0.0006599004331462407,-0.00041503399602680464,4.45127968027874e-05,-3.300501321586957e-05
