topic_id,0,1,2,3,4
T00,-0.16305600062989883,-0.21952613823498612,-0.39102276565275684,-0.1269532257344501,-0.14884805668340487
T01,-0.12387070632021956,-0.20260979002867363,-0.33967197026179796,-0.06602052053504766,-0.1700938967292322
T02,-0.03906804698579327,-0.08058227262503871,-0.4232932931578826,-0.16244474445715484,0.18353285252908744
T03,0.6180830317878514,-0.11337594779466686,0.041166723795406084,0.23600669360292284,2.3183197279679426
T04,-0.2837747905550707,0.09449123506109212,-0.26661617412231237,-0.20884273559587613,0.11629293716857408
T05,-0.05820860383787911,-0.14506636255909305,-0.38216743153255095,-0.07448755214287536,-0.2152442896200796
T06,-0.2006346803404194,-0.1951897934885047,-0.37339673470735996,-0.21827743988476558,-0.18189224359402795
T07,-0.2100655555747749,-0.19199781416117065,-0.40307841633962227,-0.2066276192013754,-0.17353617014357592
T08,-0.5269219053894362,0.11583047713182384,-0.30503331370533915,-0.4123720784028432,-0.05343676365885038
T09,-0.22036536570115733,-0.1874593051112937,-0.379885208618389,-0.2354855926826241,-0.20334779072843714
T10,-0.30788327066125265,-0.07161753352626876,-0.32663750829348487,-0.2639500217565008,-0.14513130908723074
T11,-0.06901467940475489,-0.0941877331317575,-0.361501047447016,-0.2782061291425571,0.06603332544015338
T12,0.3729676578285507,-2.349117728858598,2.9384324985117383,-0.31463556904932266,-0.18290387639813777
T13,0.5622668688493145,-0.35458699687647494,-0.12070635141150371,2.7432277331820787,-0.34880943829996475
T14,-2.4115169014184796,2.625833436118939,1.8329265053382389,0.322771506377832,0.05721843219617936
T15,3.595336630444335,2.0192243803703493,0.6736461646715146,-0.39292652118962407,-0.36357635941395744
T16,-0.1686181048246891,-0.15161389432386865,-0.3741253632027977,-0.20068679540731585,-0.12753733183400612
T17,-0.11527542641240393,-0.22186238107079181,-0.34510091483679695,0.13939223187505034,-0.18527686650760652
T18,-0.22036183960396513,-0.1292933824285023,-0.373608590422198,-0.20117005593324802,-0.11941327029407413
T19,-0.03001831124985409,-0.14729245446251513,-0.3203268086050887,-0.07831156392230376,-0.12234961230935333
