,term_str,x,y,cluster
176,held,-37.075775,-47.2452,"x -50 to -30, y -55 to -30"
3207,hindered,-41.96053,-35.226658,"x -50 to -30, y -55 to -30"
3434,impeached,-41.529964,-39.279236,"x -50 to -30, y -55 to -30"
2267,implemented,-36.570587,-45.37644,"x -50 to -30, y -55 to -30"
2750,imprisoned,-41.502052,-30.113968,"x -50 to -30, y -55 to -30"
3339,incorporated,-35.94431,-34.295605,"x -50 to -30, y -55 to -30"
2814,increased,-40.554466,-39.604084,"x -50 to -30, y -55 to -30"
3344,infringed,-37.445602,-38.07543,"x -50 to -30, y -55 to -30"
1903,initiated,-33.2173,-49.118374,"x -50 to -30, y -55 to -30"
3951,installed,-35.814648,-37.12931,"x -50 to -30, y -55 to -30"
1043,instituted,-31.998825,-44.020714,"x -50 to -30, y -55 to -30"
3065,insufficient,-32.394863,-35.238163,"x -50 to -30, y -55 to -30"
2345,integrated,-36.802097,-35.246593,"x -50 to -30, y -55 to -30"
3541,interpreted,-38.11485,-41.069202,"x -50 to -30, y -55 to -30"
996,introduced,-32.02079,-49.595646,"x -50 to -30, y -55 to -30"
3973,invalidated,-35.319065,-40.586926,"x -50 to -30, y -55 to -30"
1160,inviolable,-43.190266,-36.427444,"x -50 to -30, y -55 to -30"
1850,involved,-35.802868,-30.927782,"x -50 to -30, y -55 to -30"
601,issued,-38.647293,-52.721622,"x -50 to -30, y -55 to -30"
2715,judged,-34.063305,-40.551258,"x -50 to -30, y -55 to -30"
3075,justified,-33.60779,-38.447052,"x -50 to -30, y -55 to -30"
2300,kept,-36.78619,-41.57055,"x -50 to -30, y -55 to -30"
2984,left,-31.767342,-32.973248,"x -50 to -30, y -55 to -30"
1103,limited,-43.402878,-41.532875,"x -50 to -30, y -55 to -30"
101,made,-38.600628,-53.02515,"x -50 to -30, y -55 to -30"
2177,maintained,-39.6242,-41.25185,"x -50 to -30, y -55 to -30"
2976,managed,-39.714134,-36.559635,"x -50 to -30, y -55 to -30"
2808,met,-37.28886,-39.664146,"x -50 to -30, y -55 to -30"
2209,modified,-37.85181,-54.77018,"x -50 to -30, y -55 to -30"
3185,named,-35.400745,-36.574276,"x -50 to -30, y -55 to -30"
2544,never,-30.507511,-30.491713,"x -50 to -30, y -55 to -30"
630,nominated,-43.600883,-51.65529,"x -50 to -30, y -55 to -30"
2248,obligated,-47.63987,-46.74614,"x -50 to -30, y -55 to -30"
1152,obliged,-47.854534,-46.853924,"x -50 to -30, y -55 to -30"
2496,observed,-37.492706,-43.523743,"x -50 to -30, y -55 to -30"
3583,occupied,-36.86165,-37.432213,"x -50 to -30, y -55 to -30"
3656,opened,-36.44415,-42.04863,"x -50 to -30, y -55 to -30"
1805,ordered,-33.333206,-43.003426,"x -50 to -30, y -55 to -30"
3439,organised,-37.02235,-35.97231,"x -50 to -30, y -55 to -30"
1284,organized,-41.546062,-44.788452,"x -50 to -30, y -55 to -30"
1831,owned,-40.421646,-36.146408,"x -50 to -30, y -55 to -30"
305,passed,-34.87633,-53.35699,"x -50 to -30, y -55 to -30"
970,performed,-47.843624,-41.765305,"x -50 to -30, y -55 to -30"
2922,permissible,-39.612343,-39.429787,"x -50 to -30, y -55 to -30"
815,permitted,-46.499397,-45.709805,"x -50 to -30, y -55 to -30"
1694,placed,-36.22636,-40.930634,"x -50 to -30, y -55 to -30"
1947,prepared,-35.61294,-47.25648,"x -50 to -30, y -55 to -30"
264,present,-30.83781,-49.168953,"x -50 to -30, y -55 to -30"
662,presented,-32.127243,-53.14163,"x -50 to -30, y -55 to -30"
2224,prevented,-48.31847,-35.126125,"x -50 to -30, y -55 to -30"
2822,proclaimed,-36.05908,-43.35976,"x -50 to -30, y -55 to -30"
2376,produced,-32.908527,-39.381165,"x -50 to -30, y -55 to -30"
597,prohibited,-43.799965,-37.328392,"x -50 to -30, y -55 to -30"
2813,promoted,-38.15983,-36.039635,"x -50 to -30, y -55 to -30"
1039,promulgated,-36.77271,-54.45274,"x -50 to -30, y -55 to -30"
2564,pronounced,-33.64246,-42.142,"x -50 to -30, y -55 to -30"
575,proposed,-33.305122,-50.716667,"x -50 to -30, y -55 to -30"
1564,prosecuted,-42.631935,-30.6031,"x -50 to -30, y -55 to -30"
892,protected,-40.30104,-43.005344,"x -50 to -30, y -55 to -30"
1500,punishable,-44.341488,-31.936506,"x -50 to -30, y -55 to -30"
1699,punished,-44.024452,-31.797716,"x -50 to -30, y -55 to -30"
341,qualified,-49.779594,-52.601723,"x -50 to -30, y -55 to -30"
3166,questioned,-34.864418,-41.68719,"x -50 to -30, y -55 to -30"
1150,ratified,-36.558167,-53.76806,"x -50 to -30, y -55 to -30"
3394,re-elected,-42.123234,-40.02225,"x -50 to -30, y -55 to -30"
3557,recalled,-32.93088,-37.37101,"x -50 to -30, y -55 to -30"
1785,recognised,-40.77026,-43.62706,"x -50 to -30, y -55 to -30"
708,recognized,-41.25453,-43.490444,"x -50 to -30, y -55 to -30"
3808,recorded,-34.15504,-36.550545,"x -50 to -30, y -55 to -30"
1628,reduced,-43.26749,-39.21202,"x -50 to -30, y -55 to -30"
3078,reelected,-42.324097,-40.109745,"x -50 to -30, y -55 to -30"
2481,refused,-40.746243,-38.300846,"x -50 to -30, y -55 to -30"
1481,rejected,-34.610077,-51.34707,"x -50 to -30, y -55 to -30"
1769,released,-45.907177,-36.537384,"x -50 to -30, y -55 to -30"
3739,relieved,-47.594276,-31.000957,"x -50 to -30, y -55 to -30"
327,removed,-47.639168,-38.947144,"x -50 to -30, y -55 to -30"
1864,rendered,-33.62352,-41.26155,"x -50 to -30, y -55 to -30"
2931,renewed,-41.86868,-40.626858,"x -50 to -30, y -55 to -30"
3831,repeated,-33.231052,-36.862026,"x -50 to -30, y -55 to -30"
2351,replaced,-41.75148,-49.619324,"x -50 to -30, y -55 to -30"
2470,reported,-32.047073,-32.97525,"x -50 to -30, y -55 to -30"
1211,represented,-32.574932,-48.390213,"x -50 to -30, y -55 to -30"
1593,requested,-36.926376,-49.00428,"x -50 to -30, y -55 to -30"
211,required,-45.580544,-47.546837,"x -50 to -30, y -55 to -30"
1237,reserved,-40.081947,-34.4668,"x -50 to -30, y -55 to -30"
1063,resign,-48.60002,-38.91276,"x -50 to -30, y -55 to -30"
2448,resolved,-34.805088,-44.09732,"x -50 to -30, y -55 to -30"
2975,resort,-32.496822,-36.541935,"x -50 to -30, y -55 to -30"
2464,respected,-39.69934,-42.840218,"x -50 to -30, y -55 to -30"
1153,restricted,-41.490032,-37.762325,"x -50 to -30, y -55 to -30"
3997,retained,-36.2867,-37.756943,"x -50 to -30, y -55 to -30"
2053,retire,-47.912296,-33.343815,"x -50 to -30, y -55 to -30"
2285,retired,-47.845104,-32.402042,"x -50 to -30, y -55 to -30"
1732,returned,-31.30658,-53.100143,"x -50 to -30, y -55 to -30"
2454,reviewed,-34.738426,-46.54864,"x -50 to -30, y -55 to -30"
870,revoked,-46.02056,-41.658752,"x -50 to -30, y -55 to -30"
3202,sanctioned,-37.065,-44.59432,"x -50 to -30, y -55 to -30"
3482,searched,-41.10901,-31.431673,"x -50 to -30, y -55 to -30"
3608,seized,-40.113403,-32.501198,"x -50 to -30, y -55 to -30"
1309,selected,-43.161945,-51.630657,"x -50 to -30, y -55 to -30"
1195,sent,-31.607702,-53.102325,"x -50 to -30, y -55 to -30"
3639,separated,-47.312244,-35.643074,"x -50 to -30, y -55 to -30"
2800,settled,-37.188393,-45.45398,"x -50 to -30, y -55 to -30"
3758,shared,-38.174416,-34.662983,"x -50 to -30, y -55 to -30"
880,signed,-36.73463,-51.238003,"x -50 to -30, y -55 to -30"
3331,spent,-34.74405,-35.716217,"x -50 to -30, y -55 to -30"
2586,still,-30.693186,-35.1916,"x -50 to -30, y -55 to -30"
1085,subjected,-47.932632,-45.199905,"x -50 to -30, y -55 to -30"
