doc_label,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
Afghanistan 2004,0.22857142857142856,0.288,0.064,0.3211428571428571,0.1977142857142857,0.14514285714285713,0.09714285714285714,0.584,0.38057142857142856
Brazil 2014,0.14571607254534083,0.37502605795288724,0.133833646028768,0.2461955388784657,0.257661038148843,0.20637898686679174,0.1336251824056702,0.5303314571607255,0.3610589952053367
China 2004,0.19221698113207547,0.2865566037735849,0.23349056603773585,0.2606132075471698,0.18867924528301888,0.1474056603773585,0.08254716981132075,0.5943396226415094,0.3419811320754717
Russia 2008,0.1949238578680203,0.21116751269035533,0.05685279187817259,0.36751269035532996,0.14416243654822336,0.10152284263959391,0.05380710659898477,0.500507614213198,0.2934010152284264
United States of America 1992,0.1888,0.1744,0.1664,0.1888,0.1328,0.1632,0.0896,0.6768,0.3408
