term_str,x,y,cluster
authorized,-44.29708,-48.14488,"x -50 to -30, y -55 to -30"
bound,-40.102192,-47.255993,"x -50 to -30, y -55 to -30"
brought,-31.90323,-44.17626,"x -50 to -30, y -55 to -30"
calculated,-34.6965,-37.67748,"x -50 to -30, y -55 to -30"
called,-40.393936,-51.093437,"x -50 to -30, y -55 to -30"
certified,-38.067802,-49.77546,"x -50 to -30, y -55 to -30"
challenged,-32.202446,-41.04036,"x -50 to -30, y -55 to -30"
changed,-40.1092,-39.492245,"x -50 to -30, y -55 to -30"
charge,-33.692387,-33.392326,"x -50 to -30, y -55 to -30"
chosen,-43.18912,-51.781513,"x -50 to -30, y -55 to -30"
commenced,-31.719799,-40.096382,"x -50 to -30, y -55 to -30"
compelled,-47.6535,-46.062126,"x -50 to -30, y -55 to -30"
completed,-36.355667,-39.650547,"x -50 to -30, y -55 to -30"
comprised,-35.249157,-31.185966,"x -50 to -30, y -55 to -30"
compulsorily,-40.012974,-31.287712,"x -50 to -30, y -55 to -30"
concluded,-35.496727,-45.023518,"x -50 to -30, y -55 to -30"
conducted,-36.909653,-47.003403,"x -50 to -30, y -55 to -30"
confirmed,-36.80891,-49.953472,"x -50 to -30, y -55 to -30"
constituted,-42.19119,-46.24426,"x -50 to -30, y -55 to -30"
consulted,-34.299835,-44.98843,"x -50 to -30, y -55 to -30"
continued,-31.741709,-40.498676,"x -50 to -30, y -55 to -30"
convened,-31.047388,-47.345512,"x -50 to -30, y -55 to -30"
convoked,-31.012434,-47.515137,"x -50 to -30, y -55 to -30"
counted,-38.517162,-39.60138,"x -50 to -30, y -55 to -30"
countersigned,-40.544334,-48.74434,"x -50 to -30, y -55 to -30"
covered,-38.858097,-44.984676,"x -50 to -30, y -55 to -30"
created,-41.8346,-45.296967,"x -50 to -30, y -55 to -30"
debated,-31.423548,-48.75564,"x -50 to -30, y -55 to -30"
decided,-34.614277,-48.73643,"x -50 to -30, y -55 to -30"
declared,-38.10527,-50.14509,"x -50 to -30, y -55 to -30"
decreed,-36.140526,-38.66952,"x -50 to -30, y -55 to -30"
denied,-42.13567,-33.54539,"x -50 to -30, y -55 to -30"
deposited,-32.27518,-46.80301,"x -50 to -30, y -55 to -30"
deprived,-42.98598,-35.73266,"x -50 to -30, y -55 to -30"
designated,-43.05074,-50.737675,"x -50 to -30, y -55 to -30"
developed,-36.94467,-35.98694,"x -50 to -30, y -55 to -30"
directed,-43.19579,-48.090065,"x -50 to -30, y -55 to -30"
discharged,-46.603798,-40.356922,"x -50 to -30, y -55 to -30"
discriminated,-31.51596,-42.220848,"x -50 to -30, y -55 to -30"
discussed,-31.430815,-48.665478,"x -50 to -30, y -55 to -30"
dismissed,-47.50775,-39.194702,"x -50 to -30, y -55 to -30"
disposed,-34.40417,-36.936817,"x -50 to -30, y -55 to -30"
disqualified,-49.778725,-52.59486,"x -50 to -30, y -55 to -30"
distributed,-38.6884,-34.674,"x -50 to -30, y -55 to -30"
divided,-36.64802,-33.808956,"x -50 to -30, y -55 to -30"
effected,-36.454338,-46.079395,"x -50 to -30, y -55 to -30"
elected,-43.284397,-52.4174,"x -50 to -30, y -55 to -30"
eligible,-49.785175,-52.595688,"x -50 to -30, y -55 to -30"
employed,-37.04103,-31.135862,"x -50 to -30, y -55 to -30"
empowered,-46.440273,-47.35682,"x -50 to -30, y -55 to -30"
enacted,-37.230495,-54.208557,"x -50 to -30, y -55 to -30"
endorsed,-33.029816,-33.132244,"x -50 to -30, y -55 to -30"
enforceable,-34.219418,-42.108387,"x -50 to -30, y -55 to -30"
enforced,-38.184196,-41.30379,"x -50 to -30, y -55 to -30"
engaged,-36.82633,-31.05199,"x -50 to -30, y -55 to -30"
enquired,-35.979862,-33.648533,"x -50 to -30, y -55 to -30"
ensured,-40.347893,-42.35706,"x -50 to -30, y -55 to -30"
entered,-35.968914,-33.423546,"x -50 to -30, y -55 to -30"
entitled,-48.668118,-46.602055,"x -50 to -30, y -55 to -30"
examined,-34.70881,-46.609676,"x -50 to -30, y -55 to -30"
excepted,-47.315544,-35.927063,"x -50 to -30, y -55 to -30"
excluded,-47.81122,-36.265354,"x -50 to -30, y -55 to -30"
executed,-38.22056,-41.818855,"x -50 to -30, y -55 to -30"
exempt,-48.1702,-35.73291,"x -50 to -30, y -55 to -30"
exempted,-47.402927,-35.698906,"x -50 to -30, y -55 to -30"
exercisable,-49.89818,-42.202785,"x -50 to -30, y -55 to -30"
expelled,-47.272945,-35.38285,"x -50 to -30, y -55 to -30"
expended,-33.96853,-35.860714,"x -50 to -30, y -55 to -30"
expressed,-34.820145,-39.101166,"x -50 to -30, y -55 to -30"
expropriated,-40.273052,-32.098595,"x -50 to -30, y -55 to -30"
extended,-43.442844,-41.354584,"x -50 to -30, y -55 to -30"
extradited,-45.509903,-34.86436,"x -50 to -30, y -55 to -30"
filed,-32.867863,-44.788227,"x -50 to -30, y -55 to -30"
filled,-40.87301,-50.55183,"x -50 to -30, y -55 to -30"
financed,-39.84189,-36.763824,"x -50 to -30, y -55 to -30"
fixed,-43.510548,-42.9493,"x -50 to -30, y -55 to -30"
followed,-33.850697,-47.59082,"x -50 to -30, y -55 to -30"
forbidden,-43.538586,-37.269028,"x -50 to -30, y -55 to -30"
formed,-42.173546,-46.299267,"x -50 to -30, y -55 to -30"
fulfilled,-36.726013,-39.0696,"x -50 to -30, y -55 to -30"
governed,-39.13404,-47.08799,"x -50 to -30, y -55 to -30"
granted,-43.23691,-34.006077,"x -50 to -30, y -55 to -30"
guaranteed,-41.720715,-43.274036,"x -50 to -30, y -55 to -30"
guided,-39.393448,-46.754868,"x -50 to -30, y -55 to -30"
headed,-41.319214,-48.598995,"x -50 to -30, y -55 to -30"
heard,-34.01218,-46.376553,"x -50 to -30, y -55 to -30"
held,-37.075775,-47.2452,"x -50 to -30, y -55 to -30"
hindered,-41.96053,-35.226658,"x -50 to -30, y -55 to -30"
impeached,-41.529964,-39.279236,"x -50 to -30, y -55 to -30"
implemented,-36.570587,-45.37644,"x -50 to -30, y -55 to -30"
imprisoned,-41.502052,-30.113968,"x -50 to -30, y -55 to -30"
incorporated,-35.94431,-34.295605,"x -50 to -30, y -55 to -30"
increased,-40.554466,-39.604084,"x -50 to -30, y -55 to -30"
infringed,-37.445602,-38.07543,"x -50 to -30, y -55 to -30"
